2022-03-18 02:33:35.283 UTC [1] LOG:  starting PostgreSQL 13.1 (Debian 13.1-1.pgdg100+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 8.3.0-6) 8.3.0, 64-bit
2022-03-18 02:33:35.283 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2022-03-18 02:33:35.283 UTC [1] LOG:  listening on IPv6 address "::", port 5432
2022-03-18 02:33:35.289 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2022-03-18 02:33:35.311 UTC [30] LOG:  database system was shut down in recovery at 2020-10-14 19:08:55 UTC
2022-03-18 02:33:35.317 UTC [30] LOG:  entering standby mode
2022-03-18 02:33:35.355 UTC [30] LOG:  consistent recovery state reached at 0/2253908
2022-03-18 02:33:35.355 UTC [30] LOG:  invalid record length at 0/2253908: wanted 24, got 0
2022-03-18 02:33:35.357 UTC [1] LOG:  database system is ready to accept read only connections
2022-03-18 02:33:35.375 UTC [35] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:35.375 UTC [34] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:35.388 UTC [37] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:35.389 UTC [36] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:40.398 UTC [39] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:40.398 UTC [38] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:45.406 UTC [41] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:45.406 UTC [40] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:50.415 UTC [43] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:50.415 UTC [42] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:55.422 UTC [45] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:33:55.422 UTC [44] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:00.392 UTC [47] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:00.392 UTC [46] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:05.398 UTC [49] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:05.398 UTC [48] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:10.404 UTC [51] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:10.405 UTC [50] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:15.412 UTC [53] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:15.412 UTC [52] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:20.417 UTC [55] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:20.418 UTC [54] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:25.426 UTC [57] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:25.426 UTC [56] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:30.396 UTC [59] FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
2022-03-18 02:34:30.396 UTC [58] FATAL:  could not connect to the primary server: FATAL:  no pg_hba.conf entry for replication connection from host "172.17.0.3", user "postgres", SSL off
